Date,"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
2021-12-04,Burundi,20439,38,773,19628,1649.0,3.0,345742,27893.0,12395483,Africa,1583.0
2021-12-05,Burundi,20439,38,773,19628,1649.0,3.0,345742,27893.0,12395483,Africa,1583.0
2021-11-29,CAR,11708,101,6859,4748,2366.0,20.0,60228,12172.0,4948236,Africa,960.0
2021-11-30,CAR,11708,101,6859,4748,2366.0,20.0,60228,12172.0,4948236,Africa,960.0
2021-12-01,CAR,11708,101,6859,4748,2366.0,20.0,60228,12172.0,4948236,Africa,960.0
2021-12-02,CAR,11708,101,6859,4748,2366.0,20.0,60228,12170.0,4948696,Africa,959.0
2021-12-03,CAR,11742,101,6859,4782,2373.0,20.0,60228,12170.0,4948925,Africa,966.0
2021-12-04,CAR,11742,101,6859,4782,2372.0,20.0,60228,12168.0,4949614,Africa,966.0
2021-12-05,CAR,11742,101,6859,4782,2372.0,20.0,60228,12168.0,4949614,Africa,966.0
2021-11-29,Cabo Verde,38367,349,37949,69,67965.0,618.0,211166,374068.0,564513,Africa,122.0
2021-11-30,Cabo Verde,38370,349,37953,68,67970.0,618.0,211166,374068.0,564513,Africa,120.0
2021-12-01,Cabo Verde,38370,349,37953,68,67970.0,618.0,211166,374068.0,564513,Africa,120.0
2021-12-02,Cabo Verde,38393,350,37958,85,68007.0,620.0,211166,374046.0,564546,Africa,151.0
2021-12-03,Cabo Verde,38426,351,37963,112,68063.0,622.0,211166,374035.0,564562,Africa,198.0
2021-12-04,Cabo Verde,38450,351,37972,127,68100.0,622.0,211166,374002.0,564612,Africa,225.0
2021-12-05,Cabo Verde,38453,351,37980,122,68105.0,622.0,211166,374002.0,564612,Africa,216.0
2021-11-29,Cambodia,120112,2935,116488,689,7047.0,172.0,2715508,159309.0,17045531,Asia,40.0
2021-11-30,Cambodia,120134,2940,116507,687,7048.0,172.0,2715508,159309.0,17045531,Asia,40.0
2021-12-01,Cambodia,120160,2944,116529,687,7049.0,173.0,2719826,159562.0,17045531,Asia,40.0
2021-12-02,Cambodia,120160,2944,116529,687,7049.0,173.0,2719826,159551.0,17046796,Asia,40.0
2021-12-03,Cambodia,120207,2953,116569,685,7051.0,173.0,2723956,159787.0,17047428,Asia,40.0
2021-12-04,Cambodia,120256,2960,116609,687,7053.0,174.0,2725832,159879.0,17049325,Asia,40.0
2021-12-05,Cambodia,120272,2963,116627,682,7054.0,174.0,2725832,159879.0,17049325,Asia,40.0
2021-11-29,Cameroon,106794,1791,102716,2287,3887.0,65.0,1751774,63754.0,27477249,Africa,83.0
